balanced_accuracy,diagnostic,label_kind,mean_nmi,minimum_nmi,nmi,period,purity,repetitions,standard_deviation_nmi,window_count
,object_bootstrap,endpoint,0.5149275548034196,0.40544700289697777,,,,20,0.06835095396048071,
,object_bootstrap,majority,0.6058022756649412,0.4228261447795181,,,,20,0.12131118817310722,
0.3125,period,endpoint,,,0.46312159213243353,early,0.6956521739130435,,,23
0.7222222222222222,period,majority,,,0.6685085104622965,early,0.7391304347826086,,,23
0.7374999999999999,period,endpoint,,,0.5812572051680271,late,0.7142857142857143,,,21
0.6706349206349206,period,majority,,,0.5815890332568064,late,0.7619047619047619,,,21
