scenario,run_id,pattern_id,rank,top_k_hit,support_truth,support_detected,support_absolute_error,support_relative_error,sequence_similarity,context_jaccard,occurrence_precision,occurrence_recall
manufacturing,manufacturing-golden-20260826,MFG-P1,8,true,1,1,0,0.0,0.6,1.0,0.0,0.0
manufacturing,manufacturing-golden-20260826,MFG-P2,8,true,1,1,0,0.0,0.6,1.0,0.0,0.0
manufacturing,manufacturing-golden-20260826,MFG-P3,4,true,1,1,0,0.0,0.6666666666666667,1.0,0.0,0.0
manufacturing,manufacturing-golden-20260826,MFG-P4,6,true,1,1,0,0.0,0.5,1.0,0.0,0.0
manufacturing,manufacturing-golden-20260826,MFG-P5,16,false,1,1,0,0.0,0.6666666666666667,1.0,0.0,0.0
manufacturing,manufacturing-golden-20260826,MFG-P6,13,false,1,1,0,0.0,0.6666666666666667,0.6666666666666666,0.0,0.0
