accuracy,coverage,episode_iou,f1,macro_f1,precision,recall,run_id,scenario,scope,state,transition_precision,transition_recall,transition_time_mae_minutes,unknown_exposure,unknown_rate,weighted_f1
1.0,1.0,1.0,,1.0,,,inventory-golden-20260826,inventory,overall,ALL,1.0,1.0,0.0,0.019230769230769232,0.019230769230769232,1.0
,,,1.0,,1.0,1.0,inventory-golden-20260826,inventory,state,Critical Understock,,,,,,
,,,1.0,,1.0,1.0,inventory-golden-20260826,inventory,state,Normal,,,,,,
,,,1.0,,1.0,1.0,inventory-golden-20260826,inventory,state,Overstock,,,,,,
,,,1.0,,1.0,1.0,inventory-golden-20260826,inventory,state,Understock,,,,,,
,,,1.0,,1.0,1.0,inventory-golden-20260826,inventory,state,Unknown,,,,,,
