balanced_accuracy,diagnostic,label_kind,mean_nmi,minimum_nmi,nmi,period,purity,repetitions,standard_deviation_nmi,window_count
,object_bootstrap,endpoint,0.6984900361866803,0.5635051273460732,,,,20,0.07273987630111521,
,object_bootstrap,majority,0.6531132069540718,0.58263853403335,,,,20,0.04307606495364298,
0.5208333333333333,period,endpoint,,,0.786803790648629,early,0.7368421052631579,,,19
0.8402777777777777,period,majority,,,0.7681849159675315,early,0.8421052631578947,,,19
0.55,period,endpoint,,,0.5669096166788664,late,0.7647058823529411,,,17
0.4291666666666667,period,majority,,,0.625988468635054,late,0.5882352941176471,,,17
