scenario,profile,run_id,repetition,events,objects,windows,features,patterns,commit,operation,command,input_bytes,output_bytes,peak_rss_bytes,wall_time_ms,cpu_time_ms
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,import_summary,summary,94324,202,10424320,6.271895000000001,7.988
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,state_query_and_export,export,94324,185720,12492800,21.415806,22.814999999999998
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,state_transition_kpis,state-transition-kpis,94324,4718,10989568,10.495549,12.021999999999995
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,ocdfg,ocdfg,94324,20257,11112448,12.259032,14.431999999999997
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,sa_ocdfg,sa-ocdfg,94324,121744,11419648,17.149072,19.125999999999994
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,state_patterns,state-patterns,86963,66990,11071488,18.577317999999998,20.756000000000007
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,state_detection,state-detection,94324,11798,11157504,21.119165,23.124999999999993
inventory,golden,inventory-golden-20260826,1,52,38,36,46,37,35eab0e9da3e0db0a05e80dc4a5cb116ca8ab14b,state_detection_assignments,state-detection-assignments,94324,4880,11128832,18.178496999999997,19.75
