cell,window_count,largest_standardized_feature_differences_json,dominant_activity,related_object_counts_json,representative_entering_windows_json,representative_exiting_windows_json
"0,0",4,"[[""attribute::upper_threshold"",3.181980515339516],[""attribute::on_hand"",1.5042984855270696],[""attribute::inventory_position"",1.2018466925453304],[""activity::Goods Receipt"",1.0733126291999],[""attribute::on_order"",-0.5466904809192409]]",Goods Receipt,"{""Delivery"":2,""Location"":4,""Material"":4,""Planner"":4,""PurchaseOrderItem"":2,""TransferOrder"":3}","[{""from_end_event"":""INV-E-000026"",""object_id"":""IL-0003"",""to_end_event"":""INV-E-000027""}]",[]
"0,1",4,"[[""attribute::on_hand"",1.0877235203041888],[""attribute::inventory_position"",0.842788759502742],[""attribute::on_order"",-0.5466904809192409],[""related::PurchaseOrderItem"",-0.45456864504849515],[""attribute::backorder"",-0.44655028198494734]]",Goods Receipt,"{""Delivery"":4,""Location"":4,""Material"":4,""PurchaseOrderItem"":4,""Supplier"":4}","[{""from_end_event"":""INV-E-000016"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000017""}]","[{""from_end_event"":""INV-E-000018"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000045""},{""from_end_event"":""INV-E-000026"",""object_id"":""IL-0003"",""to_end_event"":""INV-E-000027""}]"
"0,2",10,"[[""attribute::on_order"",1.4033724872827984],[""activity::Goods Receipt"",-0.766651877999929],[""related::PurchaseOrderItem"",0.6363961030678934],[""activity::Purchase Order Item Created"",0.5168765907047368],[""attribute::upper_threshold"",-0.48953546389838537]]",Purchase Order Item Created,"{""Delivery"":6,""Location"":10,""Material"":10,""Planner"":9,""PurchaseOrderItem"":12,""ReplenishmentProposal"":4,""Supplier"":10}","[{""from_end_event"":""INV-E-000014"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000015""},{""from_end_event"":""INV-E-000039"",""object_id"":""IL-0007"",""to_end_event"":""INV-E-000040""}]","[{""from_end_event"":""INV-E-000016"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000017""},{""from_end_event"":""INV-E-000042"",""object_id"":""IL-0007"",""to_end_event"":""INV-E-000044""}]"
"1,1",2,"[[""attribute::on_order"",0.8085506272419025],[""attribute::inventory_position"",0.6242445110413628],[""activity::Goods Receipt"",-0.4878693769090457],[""attribute::backorder"",-0.4202826183387739],[""related::PurchaseOrderItem"",-0.3977475644174334]]",Purchase Order Item Created,"{""Location"":2,""Material"":2,""PurchaseOrderItem"":2,""TransferOrder"":2}","[{""from_end_event"":""INV-E-000042"",""object_id"":""IL-0007"",""to_end_event"":""INV-E-000044""}]",[]
"1,2",1,"[[""attribute::on_order"",-0.4998312968404488],[""attribute::backorder"",-0.4082745435290947],[""attribute::upper_threshold"",-0.36365491603880057],[""attribute::reserved"",-0.17386030382986628],[""attribute::inventory_position"",-0.050154123980551954]]",Initialize Inventory,"{""Location"":1,""Material"":1,""Planner"":1,""ReplenishmentProposal"":1}",[],"[{""from_end_event"":""INV-E-000039"",""object_id"":""IL-0007"",""to_end_event"":""INV-E-000040""}]"
"2,0",6,"[[""attribute::on_order"",-0.5831365129805236],[""attribute::backorder"",-0.47632030078394383],[""attribute::upper_threshold"",-0.424264068711934],[""attribute::reserved"",-0.20283702113484398],[""attribute::on_hand"",0.08640073352770869]]",Simulation End Snapshot,"{""Location"":6,""Material"":6,""Planner"":2,""TransferOrder"":3}","[{""from_end_event"":""INV-E-000018"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000045""},{""from_end_event"":""INV-E-000037"",""object_id"":""IL-0008"",""to_end_event"":""INV-E-000043""}]",[]
"2,1",3,"[[""attribute::on_order"",-0.5301241027095669],[""attribute::backorder"",-0.4330184552581307],[""attribute::upper_threshold"",-0.3856946079199433],[""attribute::reserved"",-0.18439729194076723],[""attribute::inventory_position"",-0.16925289773051308]]",Backorder Registered,"{""Location"":3,""Material"":3}","[{""from_end_event"":""INV-E-000032"",""object_id"":""IL-0005"",""to_end_event"":""INV-E-000033""}]","[{""from_end_event"":""INV-E-000037"",""object_id"":""IL-0008"",""to_end_event"":""INV-E-000043""}]"
"2,2",6,"[[""attribute::inventory_position"",-2.1649863518271624],[""attribute::backorder"",1.769189688626077],[""attribute::on_hand"",-1.24663915518551],[""attribute::reserved"",1.01418510567422],[""attribute::on_order"",-0.5831365129805236]]",Goods Issue,"{""Location"":6,""Material"":6,""Planner"":2,""ReplenishmentProposal"":2,""SalesOrderItem"":5}",[],"[{""from_end_event"":""INV-E-000014"",""object_id"":""IL-0001"",""to_end_event"":""INV-E-000015""},{""from_end_event"":""INV-E-000032"",""object_id"":""IL-0005"",""to_end_event"":""INV-E-000033""}]"
