scenario,run_id,label_kind,label_definition,window_size,som_width,som_height,window_count,quantization_error,mean_cell_run_length,nearby_transition_proportion,transition_window_fraction,purity,adjusted_rand_index,ari,normalized_mutual_information,nmi,balanced_accuracy,mean_cell_entropy,empty_cell_rate,nearby_transition_rate,warning_precision,warning_recall,median_lead_time_minutes
inventory,inventory-golden-20260826,endpoint,endpoint,3,3,3,36,1.157233,2.25,0.625,0.7222222222222222,0.6388888888888888,0.3099167518621294,0.3099167518621294,0.6168225426629694,0.6168225426629694,0.4388888888888889,1.0758071098111266,0.1111111111111111,0.625,0.2,0.14285714285714285,0.16666666666666666
inventory,inventory-golden-20260826,majority,majority,3,3,3,36,1.157233,2.25,0.625,0.7222222222222222,0.5833333333333334,0.2801066508665383,0.2801066508665383,0.5923496618391404,0.5923496618391404,0.4833333333333333,1.165949123639919,0.1111111111111111,0.625,0.2,0.14285714285714285,0.16666666666666666
