scenario,run_id,pattern_id,rank,top_k_hit,support_truth,support_detected,support_absolute_error,support_relative_error,sequence_similarity,context_jaccard,occurrence_precision,occurrence_recall
inventory,inventory-golden-20260826,INV-P1,5,true,1,1,0,0.0,0.4,0.6666666666666666,0.0,0.0
inventory,inventory-golden-20260826,INV-P2,3,true,1,1,0,0.0,0.6,0.7142857142857143,0.0,0.0
inventory,inventory-golden-20260826,INV-P3,4,true,1,1,0,0.0,0.75,0.7142857142857143,0.0,0.0
inventory,inventory-golden-20260826,INV-P4,10,true,1,1,0,0.0,0.33333333333333337,0.75,0.0,0.0
inventory,inventory-golden-20260826,INV-P5,11,false,1,1,0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0
inventory,inventory-golden-20260826,INV-P6,14,false,1,1,0,0.0,0.5,0.5,0.0,0.0
